PRODUTO,UF,CONCORRENTE,PREÇO CONCORRENTE,HORA COLETA
7891000062661,MG,A,"53,63",11/03/99 04:03:23
7891000079515,MG,A,"70,19",11/03/99 04:03:37
7891000071625,MG,A,"67,99",11/03/99 04:03:51
7891000062760,MG,A,"51,7",11/03/99 04:04:05
7891000097649,MG,A,"63,03",11/03/99 04:04:19
7891025111825,MG,A,"67,44",11/03/99 04:04:33
7891025107897,MG,A,"72,55",11/03/99 04:04:47
7891000255544,MG,A,"48,32",11/03/99 04:05:01
7891000103487,MG,A,"130,4",11/03/99 04:05:15
7891000062722,MG,A,"51,47",11/03/99 04:05:38
7891025107910,MG,A,"72,55",11/03/99 04:06:01
7896658027796,MG,A,"95,41",11/03/99 04:06:23
7891058016999,MG,A,"43,2",11/03/99 04:06:46
7891058020286,MG,A,"43,2",11/03/99 04:07:00
7899706195027,MG,A,"77,39",11/03/99 04:07:14
7891106910248,MG,A,"54,26",11/03/99 04:07:28
7613034968364,MG,A,"97,23",11/03/99 04:08:16
7898040325466,MG,A,"124,69",11/03/99 04:08:30
7891106912167,MG,A,"17,46",11/03/99 04:08:44
7891010591007,MG,A,"85,15",11/03/99 04:09:07
7891142205643,MG,A,"85,92",11/03/99 04:09:29
8429420197985,MG,A,"106,51",11/03/99 04:09:43
7891010248178,MG,A,"85,32",11/03/99 04:09:57
7891025112662,MG,A,"92,48",11/03/99 04:10:11
7891158105203,MG,A,"182,95",11/03/99 04:10:25
7891142205704,MG,A,"85,92",11/03/99 04:10:39
7891000079393,MG,A,"71,09",11/03/99 04:10:53
7894916514422,MG,A,"164,21",11/03/99 04:11:07
7896094208537,MG,A,"71,43",11/03/99 04:11:21
7891045031257,MG,A,"61,57",11/03/99 04:11:43
7896658028205,MG,A,"149,15",11/03/99 04:11:57
7891000287736,MG,A,"130,4",11/03/99 04:12:11
7896015592110,MG,A,"106,36",11/03/99 04:12:25
7891058022730,MG,A,"93,8",11/03/99 04:12:39
7908615000169,MG,A,"41,85",11/03/99 04:12:53
7897930777798,MG,A,"98,28",11/03/99 04:13:07
7891010030094,MG,A,"20,01",11/03/99 04:13:47
7896658025112,MG,A,"117,98",11/03/99 04:14:01
7891025112686,MG,A,"96,78",11/03/99 04:14:32
3282770153507,MG,A,"86,1",11/03/99 04:14:46
7891317023232,MG,A,"172,83",11/03/99 04:15:00
7898653620033,MG,A,"172,29",11/03/99 04:15:14
7896006216827,MG,A,"148,22",11/03/99 04:15:37
7891010591038,MG,A,"66,89",11/03/99 04:15:50
7891010249106,MG,A,"98,68",11/03/99 04:16:05
7891000096482,MG,A,"71,65",11/03/99 04:16:36
7896637030861,MG,A,"105,71",11/03/99 04:16:50
7891010253905,MG,A,"33,96",11/03/99 04:17:04
7898949409632,MG,A,"44,68",11/03/99 04:17:18
