PRODUTO,UF,PREÇO SANTA CRUZ
42110200,BA,"14,84"
42110200,CE,"16,38"
42110200,DF,"15,55"
42110200,GO,"14,21"
42110200,MS,"16,76"
42110200,PI,"18,3"
42110200,PR,"18,7"
42110200,RJ,"15,12"
42110200,RS,"19,27"
42110200,SC,"14,31"
42176763,DF,"21,04"
42176763,GO,"17,33"
42176763,MG,"22,95"
42176763,MS,"21,97"
42176763,PI,"21,81"
42176763,PR,"22,99"
42176763,RJ,"21,97"
42176763,RS,"22,26"
42176763,SC,"17,04"
42176763,SP,"21,44"
42277217,BA,"11,41"
42277217,CE,"10,71"
42277217,DF,"10,23"
42277217,GO,"9,35"
42277217,MG,"12,08"
42277217,MS,"11,14"
42277217,PI,"12,03"
42277217,PR,"11,84"
42277217,RJ,"9,52"
42277217,RS,"12,71"
42277217,SC,"9,06"
42355465,DF,"9,55"
42355465,GO,"8,73"
42355465,MG,"11,26"
42355465,MS,"11,6"
42355465,PR,"11,36"
42355465,RJ,"9,15"
42355465,RS,"11,36"
42355465,SC,"8,7"
42355465,SP,"11,27"
42360407,BA,"24,05"
42360407,CE,"26,61"
42360407,DF,"24,8"
42360407,GO,"23,01"
42360407,MG,"27,78"
42360407,MS,"26,71"
42360407,PI,"25,88"
42360407,PR,"26,15"
42360407,RJ,"26,45"
42360407,RS,"25,26"
42360407,SC,"26,15"
42360414,BA,"24,05"
42360414,CE,"26,61"
42360414,DF,"24,8"
42360414,GO,"23,01"
42360414,MG,"27,78"
42360414,MS,"26,71"
42360414,PI,"25,88"
42360414,PR,"26,15"
42360414,RJ,"26,45"
42360414,RS,"25,26"
42360414,SC,"26,15"
42389248,BA,"24,05"
42389248,CE,"26,61"
42389248,DF,"24,8"
42389248,GO,"23,01"
42389248,MG,"27,78"
42389248,MS,"26,71"
42389248,PI,"25,88"
42389248,PR,"26,15"
42389248,RJ,"26,45"
42389248,RS,"25,26"
42389248,SC,"26,15"
42398004,BA,"24,05"
42398004,CE,"26,61"
42398004,DF,"24,8"
42398004,GO,"23,01"
42398004,MG,"27,78"
42398004,MS,"26,71"
42398004,PI,"25,88"
42398004,PR,"26,15"
42398004,RJ,"26,45"
42398004,RS,"25,26"
42398004,SC,"26,15"
42428831,DF,"35,96"
42428831,GO,"32,85"
42428831,PR,"39,71"
42428831,RJ,"32,13"
42428831,RS,"40,41"
42428831,SC,"27,65"
42428831,SP,"31,78"
78902312,MG,"15,59"
78902312,MS,"15,65"
78902312,PI,"13,3"
78902312,PR,"14,36"
78902312,RS,"14,36"
78902312,SC,"13,68"
78902312,TO,"16,31"
78906617,BA,"14,84"
78906617,CE,"16,38"
78906617,DF,"15,55"
78906617,GO,"14,21"
78906617,MG,"18,4"
78906617,MS,"16,76"
78906617,PI,"18,3"
78906617,PR,"18,7"
78906617,RJ,"15,12"
78906617,RS,"19,27"
78906617,SC,"14,31"
78907850,DF,"6,78"
78907850,GO,"6,19"
78907850,MG,"7,42"
78907850,MS,"7,1"
78907850,PR,"8,53"
78907850,RJ,"6,96"
78907850,RS,"8,37"
78907850,SC,"7,28"
78907850,SP,"7,6"
78907874,DF,"15,87"
78907874,GO,"12,59"
78907874,MG,"14,53"
78907874,MS,"15,85"
78907874,PR,"16,53"
78907874,RS,"17,22"
78907874,SC,"14,34"
78907874,SP,"15,49"
78914940,DF,"15,87"
78914940,MG,"14,53"
78914940,MS,"15,85"
78914940,PR,"16,53"
78914940,RS,"17,22"
78914940,SC,"14,34"
78914940,SP,"15,49"
78914957,DF,"6,78"
78914957,GO,"6,19"
78914957,MG,"7,42"
78914957,MS,"7,1"
78914957,PR,"8,53"
78914957,RJ,"6,96"
78914957,RS,"8,37"
78914957,SC,"7,28"
78914957,SP,"7,6"
78922686,DF,"6,78"
78922686,GO,"6,19"
78922686,MG,"7,42"
78922686,PR,"8,53"
78922686,RJ,"6,96"
78922686,RS,"8,37"
78922686,SC,"6,91"
78922686,SP,"7,6"
78922693,DF,"15,87"
78922693,GO,"12,59"
78922693,MG,"14,53"
78922693,MS,"15,85"
78922693,PR,"16,53"
78922693,RS,"17,22"
78922693,SC,"14,34"
78922693,SP,"15,49"
11509031310,MS,"39,68"
11509031327,MS,"39,68"
11509031334,MS,"39,68"
50000298723,BA,"71,97"
